Title,Link,Price,Year,KM Driven,Fuel Type,Transmission,Location,AI Highlights,Price (detail page),KM Driven (detail page),EMI,Fuel Type (detail page),Transmission (detail page),Owner
Mercedes-Benz A Class A180 CDI,https://www.cardekho.com/used-car-details/used-Mercedes-benz-a-class-a180-cdi-cars-Kolkata_02090b5d-84bd-4b43-be8b-5f670d1af189.htm,10L,2014,"40,000 kms",Diesel,Automatic,"Gobinda Khatick Road, Kolkata",,₹10 Lakh,"40,000 km",,Diesel,Automatic,2nd Owner
Toyota Fortuner 2.8 4WD AT BSIV,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-4wd-at-bsiv-cars-Kolkata_7844cecd-3a1a-4233-9dc0-58be23482017.htm,22L,2017,"1,20,000 kms",Diesel,Automatic,"Jodhpur Park, Kolkata",,₹22 Lakh,"1,20,000 km","EMI from ₹68,154/mo",Diesel,Automatic,1st Owner
Maruti Suzuki Eeco 7 Seater STD (O),https://www.cardekho.com/used-car-details/used-Maruti-eeco-7-seater-std-o-cars-Kolkata_d57a6c0f-474d-406b-95cd-ae5484dd49d3.htm,4.50 Lakh,2022,"90,000 km",,,,,₹4.50 Lakh,"90,000 km","EMI from ₹11,170/mo",Petrol,Manual,1st Owner
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gl-class-350-cdi-blue-efficiency-cars-Kolkata_c8ac3194-07bb-4adb-ba2a-f564f25f2bee.htm,22 Lakh,2014,"1,03,000 km",,,,,₹22 Lakh,"1,03,000 km",,Diesel,Automatic,1st Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_474f95e2-375a-422a-9551-2ae6bfaf363b.htm,2.10 Lakh,2016,"35,925 km",,,,,₹2.10 Lakh,"35,925 km","EMI from ₹9,120/mo",Petrol,Manual,1st Owner
Maruti Suzuki Eeco 5 Seater AC BSIV,https://www.cardekho.com/used-car-details/used-Maruti-eeco-5-seater-ac-bsiv-cars-Kolkata_cc059816-2f4b-447a-963f-306d0db9d39e.htm,2.54 Lakh,2014,"10,000 km",,,,,₹2.54 Lakh,"10,000 km",,Petrol,Manual,1st Owner
Maruti Suzuki Wagon R AMT VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-amt-vxi-cars-Kolkata_8e2415af-1b0f-4276-8fd1-930e3ce98fdd.htm,2.85 Lakh,2019,"40,000 km",,,,,₹2.85 Lakh,"40,000 km","EMI from ₹7,074/mo",Petrol,Automatic,3rd Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_04bedd44-466a-4ce9-a2a6-d8d1cd135771.htm,2.75L,2018,"52,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
BELOW MARKET
1st owner, 52k km — history looks solid on this Wagon R.
Maruti service is available in almost every city and town.
Read full report",₹2.75 Lakh,"52,000 km","EMI from ₹6,826/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift VXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-Kolkata_11bc42c7-0883-4903-8509-307aa2c629e8.htm,2.49L,2014,"58,107 kms",Petrol,Manual,"E.k.t, Kolkata","AI Expert
BELOW MARKET
2nd owner, 58k km — papers are clean on this Swift.
300-point inspection done. Warranty included.
Read full report",₹2.49 Lakh,"58,107 km",,Petrol,Manual,2nd Owner
Mahindra XUV300 W8 Opt Diesel,https://www.cardekho.com/used-car-details/used-Mahindra-xuv300-w8-opt-diesel-cars-Kolkata_938b6014-4611-4bff-8a9f-0761d9cc7366.htm,8.19L,2022,"56,445 kms",Diesel,Manual,"Airport Po, Kolkata","AI Expert
FAIR PRICE
1st owner, 56k km, insurance flagged — history looks solid on this XUV300.
Read full report",₹8.19 Lakh,"56,445 km","EMI from ₹20,318/mo",Diesel,Manual,1st Owner
Nissan Magnite Turbo XV BSVI,https://www.cardekho.com/used-car-details/used-Nissan-magnite-turbo-xv-bsvi-cars-Kolkata_a5fdbd4b-d911-40eb-837a-d349650b334b.htm?adId=32804&adType=41,4.99L,2022,"43,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
BELOW MARKET
1st owner, 43k km — papers are clean on this Magnite.
Nissan Magnite offers a feature-rich cabin for its price segment.
Read full report",₹4.99 Lakh,"43,000 km
Below avg","EMI from ₹12,386/mo",Petrol,Manual,1st Owner
Volkswagen Ameo 1.0 MPI Trendline,https://www.cardekho.com/used-car-details/used-Volkswagen-ameo-10-mpi-trendline-cars-Kolkata_2c2611d9-3ef1-4c2f-84f7-6ac4d0c535e7.htm,3.25L,2018,"45,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — documents are clean on this Ameo.
Simple to run, easy to park.
Read full report",₹3.25 Lakh,"45,000 km
Below avg","EMI from ₹8,067/mo",Petrol,Manual,1st Owner
Kia Syros HTX Plus Opt Turbo DCT,https://www.cardekho.com/used-car-details/used-Kia-syros-htx-plus-opt-turbo-dct-cars-Kolkata_9fc2ee61-0205-4108-94ea-c3d7b9b4c154.htm,13.65L,2025,"10,000 kms",Petrol,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 10k km, verified on this 2025 Kia Syros.
1 year old, only 10k km — near-new in every sense.
Read full report",₹13.65 Lakh,"10,000 km
Below avg","EMI from ₹33,880/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Zen Estilo VXI BSIV,https://www.cardekho.com/used-car-details/used-Maruti-zen-estilo-vxi-bsiv-cars-Kolkata_159faacd-af54-4e4c-b698-9ad8e9f119c1.htm,1.56L,2012,"78,872 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, 79k km — papers are clean on this Zen Estilo.
300-point inspection done. Warranty included.
Read full report",₹1.56 Lakh,"78,872 km",,Petrol,Manual,2nd Owner
Mahindra XUV700 AX5 7 Str,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax5-7-str-cars-Kolkata_8a1814af-f437-45c4-8a09-b3962036908f.htm?adId=33049&adType=41,14.50L,2023,"13,000 kms",Petrol,Manual,"Salt Lake City, Kolkata","AI Expert
BELOW MARKET
1st owner, 13k km — records look solid on this XUV700.
Only 13k km — lower than 82% of similar XUV700s on CarDekho.
Read full report",₹14.50 Lakh,"13,000 km
Below avg","EMI from ₹35,990/mo",Petrol,Manual,1st Owner
Volkswagen Jetta 1.4 TSI Comfortline,https://www.cardekho.com/used-car-details/used-Volkswagen-jetta-14-tsi-comfortline-cars-Kolkata_13c6eb58-d3d5-4c39-a3eb-bdec36b2608d.htm,3.75L,2016,"65,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
GREAT PRICE
2nd owner, 65k km — history looks solid on this Jetta.
Registered in October — full year's depreciation benefit for less usage.
Read full report",₹3.75 Lakh,"65,000 km","EMI from ₹16,285/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Vitara Brezza LDi,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-ldi-cars-Kolkata_879c996d-ff70-4d7a-a2ac-33bca9340ee4.htm,3.90L,2019,"1,09,270 kms",Diesel,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, 109k km on this Vitara Brezza — documents look solid.
Comprehensive insurance — valid till June 2027.
Read full report",₹3.90 Lakh,"1,09,270 km","EMI from ₹9,680/mo",Diesel,Manual,2nd Owner
Hyundai i20 Asta 1.2,https://www.cardekho.com/used-car-details/used-Hyundai-i20-asta-12-cars-Kolkata_71264d88-b86d-4307-9385-419ff15cd74c.htm,6.32L,2022,"24,748 kms",Petrol,Manual,"E.k.t, Kolkata","AI Expert
GREAT PRICE
2nd owner, 25k km — key checks pass on this i20.
300-point inspection done. Warranty included.
Read full report",₹6.32 Lakh,"24,748 km
Below avg","EMI from ₹15,687/mo",Petrol,Manual,2nd Owner
Hyundai i20 1.2 Magna Executive,https://www.cardekho.com/used-car-details/used-Hyundai-i20-12-magna-executive-cars-Kolkata_bef2fc87-cae3-4431-82b9-92a92360042d.htm?adId=32584&adType=41,3.75L,2018,"1,14,000 kms",Petrol,Manual,Kolkata,"AI Expert
FAIR PRICE
1st owner, no tampering, 114k km — records look solid on this i20.
Simple to run, easy to park.
Read full report",₹3.75 Lakh,"1,14,000 km","EMI from ₹9,308/mo",Petrol,Manual,1st Owner
Hyundai i10 Asta 1.2 AT with Sunroof,https://www.cardekho.com/used-car-details/used-Hyundai-i10-asta-12-at-with-sunroof-cars-Kolkata_c19568bf-e336-4d22-bad8-d90a79f436d6.htm,7.65L,2023,"19,206 kms",Petrol,Automatic,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 19k km — papers are clean on this i10.
300-point inspection done. Warranty included.
Read full report",₹7.65 Lakh,"19,206 km
Below avg","EMI from ₹18,984/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Baleno Zeta BSVI,https://www.cardekho.com/used-car-details/used-Maruti-baleno-zeta-bsvi-cars-Kolkata_b2da4cfa-1ea1-4a20-aa28-a1c43e6c540b.htm,5.45L,2022,"43,000 kms",Petrol,Manual,"Rash Behari Avenue, Kolkata","AI Expert
GREAT PRICE
1st owner, 43k km — documents are clean on this Baleno.
Simple to run, easy to park.
Read full report",₹5.45 Lakh,"43,000 km","EMI from ₹13,527/mo",Petrol,Manual,1st Owner
Honda City i VTEC CVT VX,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-vx-cars-Kolkata_21629441-1f58-488f-8bc3-f84d31f744cb.htm,3.50L,2014,"58,000 kms",Petrol,Automatic,"Alipore, Kolkata","AI Expert
BELOW MARKET
2nd owner, 58k km on this City — key checks pass.
Simple to run, easy to park.
Read full report",₹3.50 Lakh,"58,000 km",,Petrol,Automatic,2nd Owner
Kia Sonet HTK Plus,https://www.cardekho.com/used-car-details/used-Kia-sonet-htk-plus-cars-Kolkata_cd0561e5-9d63-4b6c-9f42-304370b2c1fb.htm?adId=32941&adType=41,7.25L,2023,"30,000 kms",Petrol,Manual,"Haltu, Kolkata","AI Expert
GREAT PRICE
1st owner, 30k km — history looks solid on this Sonet.
Simple to run, easy to park.
Read full report",₹7.25 Lakh,"30,000 km
Below avg","EMI from ₹17,995/mo",Petrol,Manual,1st Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_474f95e2-375a-422a-9551-2ae6bfaf363b.htm,2.10L,2016,"35,925 kms",Petrol,Manual,"Jairampur, Kolkata","AI Expert
GREAT PRICE
1st owner, 36k km — history looks clean on this Alto 800.
Maruti service is available in almost every city and town.
Read full report",₹2.10 Lakh,"35,925 km","EMI from ₹9,120/mo",Petrol,Manual,1st Owner
Mahindra Bolero Neo N4,https://www.cardekho.com/used-car-details/used-Mahindra-bolero-neo-n4-cars-Kolkata_0753ec62-8788-4eb0-b972-17cb0fe92de2.htm,9L,2024,"10,000 kms",Diesel,Manual,"Purba Sinthee, Kolkata","AI Expert
FAIR PRICE
1st owner, 10k km — records look solid on this Bolero Neo.
Only 2 years old — near-new condition at used-car pricing.
Read full report",₹9 Lakh,"10,000 km
Below avg","EMI from ₹22,339/mo",Diesel,Manual,1st Owner
Maruti Suzuki Brezza Zxi Plus AT DT BSVI,https://www.cardekho.com/used-car-details/used-Maruti-brezza-zxi-plus-at-dt-bsvi-cars-Kolkata_5946e413-f8ff-4409-879f-65c0574f0e45.htm,9.44L,2024,"47,475 kms",Petrol,Automatic,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 47k km — key checks pass on this Brezza.
Price dropped ₹64k — now at ₹9.4L.
Read full report",₹9.44 Lakh,"47,475 km","EMI from ₹23,441/mo",Petrol,Automatic,1st Owner
Nissan Magnite Turbo XV BSVI,https://www.cardekho.com/used-car-details/used-Nissan-magnite-turbo-xv-bsvi-cars-Kolkata_a5fdbd4b-d911-40eb-837a-d349650b334b.htm?adId=32804&adType=41,4.99L,2022,"43,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
BELOW MARKET
1st owner, 43k km — papers are clean on this Magnite.
Nissan Magnite offers a feature-rich cabin for its price segment.
Read full report",₹4.99 Lakh,"43,000 km
Below avg","EMI from ₹12,386/mo",Petrol,Manual,1st Owner
Kia Carens Clavis HTX Plus Turbo,https://www.cardekho.com/used-car-details/used-Kia-carens-clavis-htx-plus-turbo-cars-Kolkata_0f3ca38d-f004-465c-89ce-979179f65a04.htm,16L,2025,"10,000 kms",Petrol,Manual,Kolkata,"AI Expert
GREAT PRICE
1st owner, no tampering, 10k km — clean papers on this Carens Clavis.
1 year old, only 10k km — near-new in every sense.
Read full report",₹16 Lakh,"10,000 km
Below avg","EMI from ₹39,713/mo",Petrol,Manual,1st Owner
Mahindra XUV700 AX7 7Str,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax7-7str-cars-Kolkata_9a457bce-12d5-4091-b96d-041ccadbde09.htm,16.97L,2023,"14,000 kms",Petrol,Manual,"Entally, Kolkata","AI Expert
BELOW MARKET
Test drive car — demo unit, history fully traceable.
Simple to run, easy to park.
Read full report",₹16.97 Lakh,"14,000 km
Below avg","EMI from ₹42,120/mo",Petrol,Manual,0th Owner
Hyundai Alcazar Signature 6Str DCT,https://www.cardekho.com/buy-used-car-details/used-Hyundai-alcazar-signature-6str-dct-cars-Kolkata_263f5d58-89f4-4a62-a602-004cb00c5302.htm,14.58L,2023,"37,994 kms",Petrol,Automatic,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 38k km — records look solid on this Alcazar.
300-point inspection done. Warranty included.
Read full report",₹14.58 Lakh,"37,994 km","EMI from ₹36,189/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Celerio X ZXI,https://www.cardekho.com/used-car-details/used-Maruti-celerio-x-zxi-cars-Kolkata_9723019c-79f4-4d29-b49b-f93bc238a034.htm?adId=32162&adType=41,4.05L,2021,"50,000 kms",Petrol,Manual,"Baranagar, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — key checks pass on this Celerio X.
Maruti service is available in almost every city and town.
Read full report",₹4.05 Lakh,"50,000 km","EMI from ₹10,053/mo",Petrol,Manual,1st Owner
Citroen C5 Aircross Feel DualTone,https://www.cardekho.com/used-car-details/used-Citroen-c5-aircross-feel-dualtone-cars-Kolkata_0e4e7558-b6b6-4ea7-a658-15ce62e30391.htm,12.55L,2021,"50,000 kms",Diesel,Automatic,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — ownership is clean on this C5 Aircross.
Citroen service is easy to find.
Read full report",₹12.55 Lakh,"50,000 km","EMI from ₹31,150/mo",Diesel,Automatic,1st Owner
Mercedes-Benz M-Class ML 350 4Matic,https://www.cardekho.com/used-car-details/used-Mercedes-benz-m-class-ml-350-4matic-cars-Kolkata_ca08ee4c-1544-4e22-8208-d7b37761af24.htm,9L,2012,"1,00,000 kms",Diesel,Automatic,"Narendrapur, Kolkata","AI Expert
GREAT PRICE
3rd owner, 100k km — documents look clean on this M-Class.
Simple to run, easy to park.
Read full report",₹9 Lakh,"1,00,000 km",,Diesel,Automatic,3rd Owner
Hyundai Verna SX Opt,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-opt-cars-Kolkata_2adc3fd4-f98e-4cb4-b7ec-f4e222ccbb03.htm,9.99L,2024,"45,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
BELOW MARKET
1st owner, 45k km — history looks solid on this Verna.
Only 2 years old — near-new condition at used-car pricing.
Read full report",₹9.99 Lakh,"45,000 km","EMI from ₹24,799/mo",Petrol,Manual,1st Owner
Hyundai Verna SX Opt Turbo,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-opt-turbo-cars-Kolkata_f4a04a3b-4bda-4bfa-a87e-25ded4fcaee1.htm?adId=32208&adType=41,12.50L,2023,"39,000 kms",Petrol,Manual,"Ghugudanga, Kolkata","AI Expert
GREAT PRICE
1st owner, no tampering, 39k km — key checks pass on this Verna.
Simple to run, easy to park.
Read full report",₹12.50 Lakh,"39,000 km","EMI from ₹31,026/mo",Petrol,Manual,1st Owner
Maruti Suzuki Celerio ZXI Plus AMT BSVI,https://www.cardekho.com/used-car-details/used-Maruti-celerio-zxi-plus-amt-bsvi-cars-Kolkata_d882e282-40c8-4f20-b6a2-49b679415bcd.htm,4.25L,2022,"49,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 49k km — records look solid on this Celerio.
Maruti service is available in almost every city and .
Read full report",₹4.25 Lakh,"49,000 km","EMI from ₹10,549/mo",Petrol,Automatic,1st Owner
Toyota Innova Crysta 2.4 G 7 STR,https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-g-7-str-cars-Kolkata_7c58d552-9391-42be-bc7c-263bb39bc976.htm,15L,2020,"60,000 kms",Diesel,Manual,Kolkata,"AI Expert
GREAT PRICE
2nd owner, 60k km — key checks pass on this Innova Crysta.
Toyota holds value better than most cars in India — .
Read full report",₹15 Lakh,"60,000 km","EMI from ₹37,231/mo",Diesel,Manual,2nd Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_fe17cf57-7366-4d3e-8033-b47761da9fb1.htm,2.51L,2019,"3,000 kms",Petrol,Manual,"Baranagar, Kolkata","AI Expert
BELOW MARKET
1st owner, 3k km — history is traceable on this Alto 800.
Simple to run, easy to park.
Read full report",₹2.51 Lakh,"3,000 km
Below avg","EMI from ₹6,230/mo",Petrol,Manual,1st Owner
Mahindra XUV700 AX5 7 Str BSVI,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax5-7-str-bsvi-cars-Kolkata_43744a0b-5775-4ceb-9174-9d68044130b0.htm?adId=32586&adType=41,11.90L,2022,"32,355 kms",Petrol,Manual,"Salt Lake City, Kolkata","AI Expert
BELOW MARKET
1st owner, 32k km — documents are clean on this XUV700.
₹1.2L below what similar XUV700s sell for.
Read full report",₹11.90 Lakh,"32,355 km
Below avg","EMI from ₹29,536/mo",Petrol,Manual,1st Owner
Hyundai Tucson Signature AT,https://www.cardekho.com/buy-used-car-details/used-Hyundai-tucson-signature-at-cars-Kolkata_66a91fb8-62f3-464b-b25e-3e73ff896714.htm,18.91L,2023,"24,825 kms",Petrol,Automatic,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, 25k km — papers look clean on this Tucson.
Only 25k km — lower than 90% of similar Tucsons on CarDekho.
Read full report",₹18.91 Lakh,"24,825 km
Below avg","EMI from ₹46,925/mo",Petrol,Automatic,2nd Owner
Honda City V MT,https://www.cardekho.com/used-car-details/used-Honda-city-v-mt-cars-Kolkata_b4b33655-9644-4630-b36e-de4d30cba79c.htm,6.99L,2022,"50,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — papers are clean on this City.
Price dropped ₹50k — now at ₹7L.
Read full report",₹6.99 Lakh,"50,000 km","EMI from ₹17,350/mo",Petrol,Manual,1st Owner
Hyundai Grand i10 1.2 Kappa Sportz Option AT,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-option-at-cars-Kolkata_03e4397c-2eea-41ad-b53b-5314d5026261.htm,3.65L,2017,"34,000 kms",Petrol,Automatic,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 34k km — documents are clean on this Grand i10.
Comprehensive insurance — valid till March 2027.
Read full report",₹3.65 Lakh,"34,000 km
Below avg","EMI from ₹11,308/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Swift Dzire LDI,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-ldi-cars-Kolkata_5763c306-4ef7-4376-8122-d2b3e60e1d84.htm?adId=32988&adType=41,3.25L,2014,"59,000 kms",Diesel,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 59k km — history looks solid on this Swift Dzire.
Maruti service is available in almost every city and town.
Read full report",₹3.25 Lakh,"59,000 km",,Diesel,Manual,1st Owner
Hyundai i20 1.2 Magna Executive,https://www.cardekho.com/used-car-details/used-Hyundai-i20-12-magna-executive-cars-Kolkata_dd321660-6cb1-4e96-aa0f-bd65389c7d32.htm,4.15L,2018,"20,422 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 20k km — ownership and odometer look clean on this i20.
Only 20k km — lower than 88% of similar i20s on CarDekho.
Read full report",₹4.15 Lakh,"20,422 km
Below avg","EMI from ₹10,290/mo",Petrol,Manual,1st Owner
Mahindra KUV 100 NXT G80 K2 Plus 6 Str,https://www.cardekho.com/buy-used-car-details/used-Mahindra-kuv-100-nxt-g80-k2-plus-6-str-cars-Kolkata_331fb149-14f5-49d7-9cbb-8970adf49819.htm,2.57L,2018,"57,106 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
BELOW MARKET
2nd owner, 57k km — key checks pass on this KUV 100 NXT.
300-point inspection done. Warranty included.
Read full report",₹2.57 Lakh,"57,106 km","EMI from ₹6,379/mo",Petrol,Manual,2nd Owner
Tata Altroz XZ,https://www.cardekho.com/used-car-details/used-Tata-altroz-xz-cars-Kolkata_045adccb-ee21-420d-8a3f-49c48a2ebd44.htm,5.47L,2022,"83,534 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 84k km — records look solid on this Altroz.
300-point inspection done. Warranty included.
Read full report",₹5.47 Lakh,"83,534 km","EMI from ₹13,577/mo",Petrol,Manual,1st Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_0a373650-2ef0-48be-b34b-aa858b12b0f2.htm?adId=33057&adType=41,1.95L,2014,"50,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
2nd owner, 50k km on this Wagon R — records look solid.
Simple to run, easy to park.
Read full report",₹1.95 Lakh,"50,000 km",,Petrol,Manual,2nd Owner
Maruti Suzuki Alto K10 2010-2014 VXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-2010-2014-vxi-cars-Kolkata_64d55eb4-8aea-458f-a8b7-45a99a0a98b8.htm,1.85L,2013,"41,814 kms",Petrol,Manual,"Beleghata, Kolkata","AI Expert
GREAT PRICE
1st owner, 42k km — history is traceable on this Alto K10.
Maruti service is available in almost every city and town.
Read full report",₹1.85 Lakh,"41,814 km
Below avg",,Petrol,Manual,1st Owner
